order_id,order_date,store_city,region,category,sub_category,product_name,customer_segment,quantity_sold,unit_price,unit_cost,discount_percent,total_revenue,total_cost,profit,is_return
ORD100012,2023-07-09,Bengaluru,South,Men,T-Shirts,T-Shirts Style 165,Middle,9,3475,2070.12,0.3028853284501254,21802.26,18631.06,3171.21,0
ORD100013,2023-08-13,Hyderabad,South,Women,Ethnic Wear,Ethnic Wear Style 113,Premium,1,1936,1138.54,0.006489224710898156,1923.44,1138.54,784.9,0
ORD100014,2024-09-04,Bengaluru,South,Accessories,Bags,Bags Style 126,Middle,2,1441,799.69,0.04110370133182313,2763.54,1599.39,1164.15,0
ORD100015,2023-05-10,Pune,West,Accessories,Watches,Watches Style 98,Budget,4,1002,587.5,0.03696544560614045,3859.84,2349.99,1509.86,0
ORD100016,2023-07-17,Delhi,North,Footwear,Formal Shoes,Formal Shoes Style 147,Premium,1,1947,1274.06,0.32622981651110783,1311.83,1274.06,37.77,0
ORD100017,2023-05-28,Gurgaon,North,Accessories,Bags,Bags Style 298,Middle,2,3719,2235.71,0.013752094414599327,7335.71,4471.43,2864.28,0
ORD100018,2024-09-02,Gurgaon,North,Accessories,Watches,Watches Style 9,Budget,4,1680,947.46,0.02418522909004517,6557.48,3789.85,2767.63,0
ORD100019,2023-08-21,Hyderabad,South,Footwear,Formal Shoes,Formal Shoes Style 227,Budget,1,1427,819.45,0.008413996499504884,1414.99,819.45,595.55,0
ORD100020,2023-04-22,Kolkata,East,Footwear,Sneakers,Sneakers Style 277,Premium,2,3669,2565.25,0.04484241429862473,7008.95,5130.5,1878.45,0
ORD100021,2024-05-18,Noida,North,Footwear,Formal Shoes,Formal Shoes Style 38,Middle,1,3535,2139.23,0.009367476782809248,3501.89,2139.23,1362.65,0
ORD100022,2023-08-18,Hyderabad,South,Women,Ethnic Wear,Ethnic Wear Style 147,Middle,5,1597,1038.59,0.06451033620305649,7469.88,5192.95,2276.93,0
ORD100023,2024-05-30,Hyderabad,South,Accessories,Bags,Bags Style 37,Premium,4,2043,1209.32,0.0469944513990943,7787.96,4837.29,2950.68,0
ORD100024,2023-10-07,Bengaluru,South,Women,Dresses,Dresses Style 128,Middle,12,1792,1067.77,0.26130193840091925,15884.96,12813.26,3071.71,0
ORD100025,2023-01-18,Kolkata,East,Women,Ethnic Wear,Ethnic Wear Style 127,Budget,3,2695,1566.71,0.2605624196274316,5978.35,4700.12,1278.24,0
ORD100026,2023-06-04,Ahmedabad,West,Women,Tops,Tops Style 13,Budget,1,1045,620.77,0.03594911512197552,1007.43,620.77,386.66,0
ORD100027,2024-05-20,Gurgaon,North,Men,T-Shirts,T-Shirts Style 51,Premium,4,2706,1640.75,0.03379951568515358,10458.15,6563.0,3895.16,0
ORD100028,2024-10-26,Ahmedabad,West,Footwear,Sandals,Sandals Style 101,Middle,10,3417,1898.49,0.2545750374908574,25471.17,18984.93,6486.24,0
ORD100029,2023-09-21,Pune,West,Accessories,Bags,Bags Style 269,Middle,5,1791,1130.29,0.053135463156814805,8479.17,5651.46,2827.71,0
ORD100030,2024-01-05,Ahmedabad,West,Women,Ethnic Wear,Ethnic Wear Style 129,Budget,3,1881,1041.7,0.2617684572013399,-4165.84,3125.11,-1040.73,1
ORD100031,2023-02-27,Ahmedabad,West,Men,Shirts,Shirts Style 69,Middle,1,1287,831.07,0.09346139973397098,1166.72,831.07,335.65,0
ORD100032,2023-09-04,Hyderabad,South,Accessories,Watches,Watches Style 238,Middle,5,3957,2245.24,0.0014393488629755868,19756.52,11226.22,8530.3,0
ORD100033,2024-03-28,Ahmedabad,West,Women,Dresses,Dresses Style 180,Middle,1,2557,1424.78,0.06497736826427634,-2390.85,1424.78,-966.07,1
ORD100034,2023-08-11,Ahmedabad,West,Women,Ethnic Wear,Ethnic Wear Style 160,Middle,1,1815,1042.61,0.0658693631618945,1695.45,1042.61,652.84,0
ORD100035,2024-04-19,Mumbai,West,Accessories,Watches,Watches Style 43,Middle,1,1756,1213.78,0.0545616789315935,1660.19,1213.78,446.41,0
ORD100036,2024-07-09,Chennai,South,Men,Shirts,Shirts Style 115,Middle,7,3696,2246.46,0.3483583953071113,16859.27,15725.25,1134.02,0
ORD100037,2024-09-08,Gurgaon,North,Accessories,Watches,Watches Style 192,Middle,5,3946,2605.39,0.0877472013527053,17998.75,13026.94,4971.8,0
ORD100038,2024-11-19,Hyderabad,South,Accessories,Watches,Watches Style 217,Middle,8,3510,2382.45,0.3896135988405347,17139.65,19059.63,-1919.98,0
ORD100039,2023-09-30,Bengaluru,South,Women,Dresses,Dresses Style 284,Middle,3,3890,2145.82,0.03892016787341632,11215.8,6437.47,4778.33,0
ORD100040,2024-12-18,Mumbai,West,Footwear,Sandals,Sandals Style 151,Middle,5,3940,2361.24,0.029321077169806455,19122.37,11806.2,7316.17,0
ORD100041,2023-05-24,Kolkata,East,Footwear,Sneakers,Sneakers Style 146,Budget,2,3782,2111.8,0.09959312420303292,6810.68,4223.59,2587.09,0
ORD100042,2024-08-10,Kolkata,East,Women,Tops,Tops Style 194,Middle,5,2342,1366.29,0.04260914750469411,11211.05,6831.46,4379.59,0
ORD100043,2024-05-31,Pune,West,Women,Ethnic Wear,Ethnic Wear Style 292,Middle,5,2656,1555.1,0.08803599686384168,12110.88,7775.48,4335.41,0
ORD100044,2023-03-11,Hyderabad,South,Men,Jeans,Jeans Style 126,Budget,2,2681,1649.26,0.03302525290190985,5184.92,3298.53,1886.39,0
ORD100045,2023-02-27,Mumbai,West,Accessories,Bags,Bags Style 117,Budget,1,3234,2245.45,0.05833687650971597,3045.34,2245.45,799.89,0
ORD100046,2023-05-14,Ahmedabad,West,Accessories,Bags,Bags Style 227,Budget,5,1614,1015.46,0.08911431136980712,-7350.85,5077.28,-2273.57,1
ORD100047,2024-10-20,Mumbai,West,Men,Jeans,Jeans Style 12,Premium,1,2349,1642.83,0.2941740920259145,1657.99,1642.83,15.15,0
ORD100048,2023-11-26,Noida,North,Women,Dresses,Dresses Style 41,Middle,12,3523,2124.38,0.3195547607409973,28766.5,25492.55,3273.96,0
ORD100049,2024-12-04,Delhi,North,Footwear,Sneakers,Sneakers Style 82,Middle,5,3308,1900.09,0.06847311725538793,15407.45,9500.45,5907.0,0
ORD100050,2023-09-13,Pune,West,Footwear,Sneakers,Sneakers Style 239,Middle,2,1676,1025.19,0.016483426113700097,3296.75,2050.38,1246.37,0
ORD100051,2023-06-26,Pune,West,Women,Ethnic Wear,Ethnic Wear Style 6,Middle,3,3642,2037.8,0.05690814691657477,10304.22,6113.39,4190.83,0
ORD100052,2024-04-20,Bengaluru,South,Men,Shirts,Shirts Style 85,Budget,3,2260,1489.15,0.0585149532325472,6383.27,4467.46,1915.8,0
ORD100053,2023-03-19,Kolkata,East,Women,Dresses,Dresses Style 39,Budget,5,2269,1505.59,0.08782206674791923,10348.66,7527.97,2820.69,0
ORD100054,2023-06-03,Ahmedabad,West,Women,Tops,Tops Style 112,Budget,3,1067,741.77,0.08163857352130624,2939.67,2225.32,714.35,0
ORD100055,2023-10-30,Gurgaon,North,Footwear,Sneakers,Sneakers Style 98,Middle,2,2922,1666.87,0.2819446242263366,4196.32,3333.74,862.57,0
ORD100056,2023-12-01,Hyderabad,South,Footwear,Sandals,Sandals Style 285,Middle,1,3831,2278.27,0.09104712784032731,3482.2,2278.27,1203.93,0
ORD100057,2023-05-18,Noida,North,Men,Jeans,Jeans Style 43,Budget,4,3831,2463.8,0.0045861266404632955,15253.72,9855.18,5398.54,0
ORD100058,2023-04-21,Kolkata,East,Footwear,Formal Shoes,Formal Shoes Style 195,Middle,3,2735,1578.87,0.06408747448032147,7679.16,4736.6,2942.56,0
ORD100059,2024-10-28,Chennai,South,Men,Jeans,Jeans Style 133,Premium,5,1828,1100.72,0.30176239417335804,6381.89,5503.59,878.31,0
ORD100060,2023-08-21,Ahmedabad,West,Women,Tops,Tops Style 56,Premium,2,2636,1486.29,0.0321582764680029,5102.46,2972.58,2129.88,0
ORD100061,2023-12-16,Bengaluru,South,Women,Dresses,Dresses Style 28,Premium,3,2076,1308.89,0.09862569958668152,5613.76,3926.68,1687.08,0
ORD100062,2023-03-19,Noida,North,Women,Dresses,Dresses Style 274,Premium,3,2135,1394.31,0.013311692858747826,6319.74,4182.94,2136.79,0
ORD100063,2024-05-20,Delhi,North,Footwear,Formal Shoes,Formal Shoes Style 126,Premium,1,2454,1357.09,0.03772841631046227,2361.41,1357.09,1004.33,0
ORD100064,2024-06-20,Bengaluru,South,Men,T-Shirts,T-Shirts Style 264,Middle,3,1032,581.06,0.04984421989290573,2941.68,1743.17,1198.52,0
ORD100065,2024-01-04,Hyderabad,South,Women,Dresses,Dresses Style 289,Middle,4,2105,1234.9,0.3411332833440359,5547.66,4939.62,608.04,0
ORD100066,2024-03-12,Delhi,North,Men,Jeans,Jeans Style 243,Middle,4,3690,2475.55,0.008788762454014387,14630.28,9902.18,4728.09,0
ORD100067,2024-06-26,Noida,North,Men,Shirts,Shirts Style 62,Budget,4,2555,1407.28,0.09173956130855317,-9282.42,5629.12,-3653.3,1
ORD100068,2024-03-16,Chennai,South,Footwear,Formal Shoes,Formal Shoes Style 225,Middle,3,3020,1745.73,0.0769492933191937,8362.84,5237.19,3125.65,0
ORD100069,2024-06-15,Bengaluru,South,Accessories,Belts,Belts Style 178,Budget,5,2717,1690.44,0.015436271527420232,13375.3,8452.19,4923.11,0
ORD100070,2023-01-10,Pune,West,Footwear,Sandals,Sandals Style 38,Budget,13,1991,1171.1,0.3714811668781952,16267.95,15224.28,1043.67,0
ORD100071,2024-02-23,Bengaluru,South,Men,Jeans,Jeans Style 1,Budget,2,1133,791.56,0.09329380670999547,2054.6,1583.12,471.48,0
ORD100072,2023-10-23,Delhi,North,Accessories,Bags,Bags Style 78,Premium,9,2052,1178.97,0.28024409800716166,13292.45,10610.76,2681.69,0
ORD100073,2024-02-14,Mumbai,West,Men,T-Shirts,T-Shirts Style 23,Middle,2,3143,2065.16,0.045194860129903924,6001.91,4130.33,1871.58,0
ORD100074,2024-07-28,Bengaluru,South,Men,T-Shirts,T-Shirts Style 67,Budget,7,2797,1634.44,0.25999286685862255,14488.6,11441.06,3047.54,0
ORD100075,2024-01-26,Hyderabad,South,Accessories,Watches,Watches Style 97,Premium,13,2112,1444.79,0.33001916379644824,18394.99,18782.21,-387.21,0
ORD100076,2024-02-15,Gurgaon,North,Men,Jeans,Jeans Style 228,Premium,2,1316,791.33,0.08767656367617495,2401.24,1582.65,818.58,0
ORD100077,2023-08-04,Mumbai,West,Accessories,Belts,Belts Style 292,Budget,5,2894,1926.77,0.04089551770854932,13878.24,9633.87,4244.37,0
ORD100078,2023-10-10,Pune,West,Accessories,Belts,Belts Style 218,Budget,8,3397,2084.19,0.28410264745449804,19455.23,16673.55,2781.68,0
ORD100079,2023-05-21,Noida,North,Women,Tops,Tops Style 127,Middle,4,3530,2240.74,0.09321182824836124,12803.85,8962.95,3840.9,0
ORD100080,2023-04-16,Bengaluru,South,Accessories,Belts,Belts Style 101,Middle,3,3900,2636.66,0.010424696605180951,11578.03,7909.97,3668.06,0
ORD100081,2024-02-09,Ahmedabad,West,Women,Tops,Tops Style 137,Budget,1,2654,1550.23,0.03114442640456412,2571.34,1550.23,1021.12,0
ORD100082,2023-07-21,Mumbai,West,Men,T-Shirts,T-Shirts Style 17,Middle,3,1374,933.67,0.31217568763054415,2835.21,2801.01,34.2,0
ORD100083,2024-10-01,Hyderabad,South,Women,Dresses,Dresses Style 49,Middle,6,2679,1787.09,0.2967209756699136,11304.51,10722.55,581.95,0
ORD100084,2023-03-25,Kolkata,East,Men,Jeans,Jeans Style 211,Budget,5,2183,1395.61,0.05021950103312426,10366.85,6978.04,3388.81,0
ORD100085,2023-11-14,Bengaluru,South,Men,T-Shirts,T-Shirts Style 113,Middle,8,3890,2592.02,0.25985629591425286,23033.27,20736.16,2297.11,0
ORD100086,2023-04-24,Delhi,North,Footwear,Formal Shoes,Formal Shoes Style 87,Premium,5,854,517.52,0.09461154621336328,3866.01,2587.6,1278.4,0
ORD100087,2023-02-24,Chennai,South,Footwear,Sneakers,Sneakers Style 249,Middle,1,3606,2089.38,0.02538885640433043,3514.45,2089.38,1425.07,0
ORD100088,2023-08-27,Pune,West,Footwear,Formal Shoes,Formal Shoes Style 165,Middle,2,2943,1884.93,0.09887287819554429,5304.03,3769.86,1534.17,0
ORD100089,2023-07-01,Pune,West,Women,Ethnic Wear,Ethnic Wear Style 36,Middle,2,2854,1884.74,0.3449861162366441,3738.82,3769.48,-30.66,0
ORD100090,2023-10-12,Chennai,South,Women,Dresses,Dresses Style 293,Budget,4,1545,933.89,0.37376609971339897,3870.13,3735.56,134.57,0
ORD100091,2023-09-13,Kolkata,East,Women,Dresses,Dresses Style 215,Middle,4,3701,2098.97,0.07797587747880308,13649.65,8395.88,5253.77,0
ORD100092,2023-05-08,Bengaluru,South,Women,Ethnic Wear,Ethnic Wear Style 4,Middle,1,3399,2074.69,0.06988458531609044,3161.46,2074.69,1086.77,0
ORD100093,2024-10-27,Ahmedabad,West,Men,T-Shirts,T-Shirts Style 34,Middle,5,874,550.14,0.3733875813867511,2738.3,2750.69,-12.4,0
ORD100094,2023-01-17,Pune,West,Men,Jeans,Jeans Style 268,Budget,7,1141,781.59,0.2705328445103211,5826.25,5471.12,355.14,0
ORD100095,2024-03-30,Ahmedabad,West,Men,T-Shirts,T-Shirts Style 181,Middle,4,1501,836.12,0.051891770528283754,5692.44,3344.5,2347.94,0
ORD100096,2023-10-19,Hyderabad,South,Women,Dresses,Dresses Style 98,Middle,8,2858,1880.15,0.30335090746974236,15928.18,15041.24,886.95,0
ORD100097,2023-02-24,Noida,North,Women,Tops,Tops Style 201,Budget,1,2585,1523.44,0.0031183135061284674,2576.94,1523.44,1053.5,0
ORD100098,2023-06-03,Chennai,South,Men,T-Shirts,T-Shirts Style 131,Premium,1,2464,1609.63,0.04954913162061985,2341.91,1609.63,732.28,0
ORD100099,2024-05-12,Pune,West,Accessories,Belts,Belts Style 57,Middle,2,3371,1900.36,0.03609738969400268,6498.63,3800.72,2697.91,0
ORD100100,2024-05-11,Noida,North,Footwear,Formal Shoes,Formal Shoes Style 59,Budget,5,3221,2245.32,0.06372315797894869,15078.74,11226.58,3852.16,0
ORD100101,2024-05-03,Ahmedabad,West,Footwear,Sandals,Sandals Style 137,Middle,1,2617,1798.72,0.05679452305526295,2468.37,1798.72,669.64,0
ORD100102,2024-11-18,Noida,North,Women,Ethnic Wear,Ethnic Wear Style 14,Budget,2,1789,1106.09,0.25823239219697125,2654.04,2212.18,441.87,0
ORD100103,2023-06-08,Noida,North,Footwear,Sneakers,Sneakers Style 4,Premium,5,1994,1313.48,0.03398749637680661,9631.14,6567.39,3063.76,0
ORD100104,2023-12-15,Delhi,North,Men,T-Shirts,T-Shirts Style 251,Middle,5,2249,1377.8,0.08766653778624495,10259.19,6888.98,3370.21,0
ORD100105,2023-05-21,Chennai,South,Accessories,Belts,Belts Style 236,Premium,4,828,505.32,0.0767188288931127,3057.91,2021.28,1036.63,0
ORD100106,2023-08-27,Kolkata,East,Women,Tops,Tops Style 146,Middle,4,1188,654.0,0.07322718071846451,4404.02,2615.99,1788.04,0
ORD100107,2023-10-20,Kolkata,East,Accessories,Bags,Bags Style 61,Budget,9,1198,781.03,0.30764899707395227,7464.93,7029.29,435.63,0
ORD100108,2024-01-15,Delhi,North,Footwear,Formal Shoes,Formal Shoes Style 148,Budget,11,1885,1083.98,0.34201170838160616,-13643.39,11923.77,-1719.62,1
ORD100109,2024-07-28,Delhi,North,Men,Shirts,Shirts Style 262,Middle,10,3978,2319.46,0.2764792048008262,28781.66,23194.64,5587.02,0
ORD100110,2024-05-31,Pune,West,Women,Ethnic Wear,Ethnic Wear Style 62,Premium,1,3970,2496.16,0.0597274072430341,3732.88,2496.16,1236.73,0
ORD100111,2023-05-25,Noida,North,Footwear,Formal Shoes,Formal Shoes Style 123,Premium,5,2830,1936.39,0.003486516023382491,14100.67,9681.97,4418.7,0
ORD100112,2024-06-24,Kolkata,East,Footwear,Sneakers,Sneakers Style 124,Budget,2,1320,910.45,0.0329051365369871,2553.13,1820.91,732.22,0
ORD100113,2023-02-07,Noida,North,Footwear,Sneakers,Sneakers Style 114,Premium,2,1253,709.72,0.09621219725920499,2264.89,1419.45,845.44,0
ORD100114,2023-02-09,Hyderabad,South,Women,Ethnic Wear,Ethnic Wear Style 168,Middle,2,2887,1703.49,0.05657319639957911,5447.35,3406.97,2040.37,0
ORD100115,2023-04-02,Bengaluru,South,Footwear,Formal Shoes,Formal Shoes Style 188,Premium,5,1162,801.21,0.023869003130101752,5671.32,4006.07,1665.25,0
ORD100116,2023-01-07,Pune,West,Footwear,Sneakers,Sneakers Style 82,Budget,3,1854,1055.54,0.37387251258471443,3482.52,3166.62,315.9,0
ORD100117,2023-12-22,Chennai,South,Women,Dresses,Dresses Style 188,Middle,2,2047,1226.08,0.008409822446798465,4059.57,2452.16,1607.41,0
ORD100118,2024-03-23,Noida,North,Men,Shirts,Shirts Style 222,Premium,3,3261,2004.98,0.001842771873821747,9764.97,6014.94,3750.03,0
ORD100119,2023-02-06,Delhi,North,Accessories,Watches,Watches Style 210,Budget,1,3371,2148.42,0.00673506014687717,3348.3,2148.42,1199.87,0
ORD100120,2023-11-02,Mumbai,West,Footwear,Formal Shoes,Formal Shoes Style 58,Middle,12,1830,1232.01,0.25984392168610193,16253.83,14784.06,1469.76,0
ORD100121,2024-06-21,Chennai,South,Women,Tops,Tops Style 288,Budget,1,3970,2280.94,0.04513870243296755,3790.8,2280.94,1509.86,0
ORD100122,2023-05-10,Mumbai,West,Women,Ethnic Wear,Ethnic Wear Style 84,Middle,1,3595,2371.59,0.0031302313747516245,3583.75,2371.59,1212.16,0
ORD100123,2024-10-20,Kolkata,East,Men,Shirts,Shirts Style 12,Middle,10,1733,1008.55,0.2844931908836629,12399.73,10085.47,2314.27,0
ORD100124,2023-09-28,Noida,North,Accessories,Watches,Watches Style 181,Premium,5,1319,892.59,0.0770921844644052,6086.58,4462.95,1623.63,0
ORD100125,2024-06-19,Ahmedabad,West,Footwear,Sandals,Sandals Style 214,Middle,1,2059,1304.92,0.024753995560337517,2008.03,1304.92,703.12,0
ORD100126,2024-05-15,Pune,West,Women,Ethnic Wear,Ethnic Wear Style 166,Budget,1,871,567.95,0.046459859663581016,830.53,567.95,262.58,0
ORD100127,2024-06-27,Kolkata,East,Men,Jeans,Jeans Style 80,Budget,3,1013,579.32,0.07491616391012831,2811.33,1737.97,1073.36,0
ORD100128,2023-11-06,Delhi,North,Accessories,Bags,Bags Style 77,Middle,2,2843,1791.48,0.2608624408219512,4202.74,3582.96,619.78,0
ORD100129,2023-04-26,Ahmedabad,West,Women,Ethnic Wear,Ethnic Wear Style 123,Premium,2,2509,1689.1,0.0693193940822681,4670.16,3378.2,1291.96,0
ORD100130,2023-01-09,Delhi,North,Men,Shirts,Shirts Style 251,Middle,9,1515,995.53,0.3806453685619129,8444.9,8959.74,-514.84,0
ORD100131,2024-01-18,Gurgaon,North,Footwear,Sandals,Sandals Style 12,Budget,10,1694,1065.46,0.3465366542794788,11069.67,10654.59,415.08,0
ORD100132,2023-03-28,Kolkata,East,Men,Shirts,Shirts Style 82,Premium,4,1484,991.99,0.01821179156886993,5827.89,3967.95,1859.95,0
ORD100133,2024-12-23,Delhi,North,Men,T-Shirts,T-Shirts Style 213,Middle,4,2537,1479.28,0.040326136112383185,9738.77,5917.14,3821.63,0
ORD100134,2023-06-08,Ahmedabad,West,Men,T-Shirts,T-Shirts Style 250,Middle,4,3379,2133.82,0.050484488189301784,12833.65,8535.29,4298.36,0
ORD100135,2023-04-27,Chennai,South,Accessories,Watches,Watches Style 131,Middle,4,2597,1814.84,0.06550093388321086,9707.58,7259.34,2448.23,0
ORD100136,2023-08-25,Chennai,South,Accessories,Bags,Bags Style 2,Budget,3,1593,1093.36,0.07158249646820886,4436.91,3280.09,1156.82,0
ORD100137,2024-01-10,Pune,West,Men,Jeans,Jeans Style 130,Middle,14,2325,1434.05,0.38061248519087676,20161.06,20076.7,84.36,0
ORD100138,2023-05-25,Kolkata,East,Men,Jeans,Jeans Style 287,Budget,5,2846,1820.89,0.05884126333406055,13392.69,9104.45,4288.23,0
ORD100139,2024-01-30,Ahmedabad,West,Footwear,Sandals,Sandals Style 171,Premium,10,2428,1637.28,0.30055047646469296,16982.63,16372.79,609.84,0
ORD100140,2024-05-27,Kolkata,East,Accessories,Watches,Watches Style 44,Premium,1,3978,2583.99,0.07364020150656406,3685.06,2583.99,1101.07,0
ORD100141,2023-06-05,Delhi,North,Accessories,Belts,Belts Style 119,Premium,2,3181,2003.0,0.005708685608931486,6325.68,4006.0,2319.69,0
ORD100142,2023-02-04,Delhi,North,Men,T-Shirts,T-Shirts Style 251,Premium,1,1808,1181.04,0.05846707004425888,1702.29,1181.04,521.25,0
ORD100143,2023-05-06,Chennai,South,Men,Jeans,Jeans Style 234,Budget,3,1718,980.89,0.06668642575461044,4810.3,2942.66,1867.63,0
ORD100144,2024-01-10,Noida,North,Women,Dresses,Dresses Style 119,Premium,8,3516,2391.66,0.3165625328956857,19223.73,19133.27,90.46,0
ORD100145,2023-08-06,Ahmedabad,West,Women,Tops,Tops Style 289,Premium,2,1102,611.12,0.05706097466388297,2078.24,1222.25,855.99,0
ORD100146,2023-01-01,Hyderabad,South,Footwear,Sandals,Sandals Style 73,Middle,5,3208,2080.96,0.2659889545461986,-11773.54,10404.78,-1368.76,1
ORD100147,2023-06-10,Kolkata,East,Men,T-Shirts,T-Shirts Style 19,Budget,5,1288,834.08,0.010910963176574973,6369.73,4170.39,2199.34,0
ORD100148,2024-03-29,Chennai,South,Women,Dresses,Dresses Style 143,Budget,3,2188,1242.85,,6027.17,3728.56,2298.62,0
ORD100149,2023-03-06,Ahmedabad,West,Footwear,Formal Shoes,Formal Shoes Style 267,Middle,4,3452,2021.6,0.04486936226225307,13188.44,8086.4,5102.04,0
ORD100150,2024-09-13,Ahmedabad,West,Women,Tops,Tops Style 12,Middle,5,3175,1974.46,0.05190817851362181,15050.96,9872.3,5178.66,0
ORD100151,2023-05-13,Chennai,South,Accessories,Bags,Bags Style 21,Premium,4,3630,2295.66,0.039436532381835025,13947.38,9182.62,4764.76,0
ORD100152,2024-02-11,Gurgaon,North,Accessories,Belts,Belts Style 290,Premium,1,2627,1468.6,0.09270345447963067,2383.47,1468.6,914.87,0
ORD100153,2023-11-30,Mumbai,West,Accessories,Bags,Bags Style 146,Middle,11,2492,1572.14,0.37045388467489954,17257.12,17293.52,-36.41,0
ORD100154,2023-01-02,Bengaluru,South,Men,Jeans,Jeans Style 241,Premium,11,2086,1204.07,0.3521676780947474,14865.16,13244.79,1620.37,0
ORD100155,2024-03-20,Ahmedabad,West,Accessories,Watches,Watches Style 118,Budget,1,1995,1286.72,0.0043412532854819165,-1986.34,1286.72,-699.62,1
ORD100156,2023-10-04,Delhi,North,Accessories,Bags,Bags Style 154,Budget,10,1783,1205.27,0.3116542704710057,12273.2,12052.71,220.5,0
ORD100157,2023-10-20,Mumbai,West,Women,Ethnic Wear,Ethnic Wear Style 175,Budget,7,3704,2383.82,0.2643302970752002,19074.44,16686.71,2387.73,0
ORD100158,2024-07-14,Hyderabad,South,Accessories,Watches,Watches Style 138,Middle,5,1461,944.24,0.2535457879069505,5452.85,4721.19,731.66,0
ORD100159,2024-08-12,Kolkata,East,Women,Dresses,Dresses Style 241,Budget,3,1062,648.51,0.06951445540475938,2964.53,1945.52,1019.0,0
ORD100160,2024-04-03,Gurgaon,North,Accessories,Watches,Watches Style 164,Premium,2,1925,1137.91,0.05783869170064091,3627.32,2275.83,1351.49,0
ORD100161,2023-03-14,Noida,North,Men,Shirts,Shirts Style 149,Middle,4,2604,1458.61,0.05190597909082704,9875.35,5834.44,4040.91,0
ORD100162,2023-08-18,Noida,North,Women,Ethnic Wear,Ethnic Wear Style 209,Middle,5,857,557.41,0.03330019130581979,-4142.31,2787.06,-1355.25,1
ORD100163,2023-12-20,Gurgaon,North,Women,Tops,Tops Style 158,Middle,4,3300,2156.55,0.017530294235765964,12968.6,8626.21,4342.39,0
ORD100164,2024-09-24,Gurgaon,North,Accessories,Bags,Bags Style 5,Middle,4,3362,1967.43,0.09271778194794528,12201.13,7869.72,4331.41,0
ORD100165,2023-09-05,Bengaluru,South,Men,Jeans,Jeans Style 226,Middle,2,1255,714.29,0.0755270420496808,2320.43,1428.58,891.84,0
ORD100166,2024-05-23,Mumbai,West,Men,Shirts,Shirts Style 180,Middle,2,3208,2215.26,0.008764274676383854,6359.77,4430.53,1929.24,0
ORD100167,2024-12-02,Gurgaon,North,Women,Tops,Tops Style 239,Middle,3,1205,842.08,0.04969634829058303,3435.35,2526.25,909.1,0
ORD100168,2024-07-14,Ahmedabad,West,Women,Tops,Tops Style 163,Middle,14,2493,1423.98,0.3582133100993098,22399.64,19935.73,2463.91,0
ORD100169,2024-07-31,Chennai,South,Footwear,Sandals,Sandals Style 270,Budget,2,1065,606.92,0.37337208454515414,1334.72,1213.84,120.88,0
ORD100170,2023-04-20,Delhi,North,Women,Dresses,Dresses Style 25,Middle,3,2760,1793.85,0.08252007674155681,7596.73,5381.55,2215.18,0
ORD100171,2023-03-20,Mumbai,West,Men,T-Shirts,T-Shirts Style 130,Budget,4,2481,1681.42,0.027775262374926113,9648.36,6725.67,2922.69,0
ORD100172,2023-03-01,Gurgaon,North,Footwear,Formal Shoes,Formal Shoes Style 56,Premium,3,2753,1538.17,0.04598004237693202,-7879.25,4614.51,-3264.74,1
